country,city,location,measurements_parameter,measurements_sourcename,measurements_unit,measurements_value,measurements_lastupdated,country_name_en,coordinates.lon,coordinates.lat
TR,Denizli,Bayramyeri,PM10,Turkey,µg/m³,61.0,2017-07-20 21:00:00,Turkey,29.0970625522213,37.766395143213
TW,桃園市,Pingzhen,PM10,Taiwan,µg/m³,43.0,2017-12-22 05:00:00,"Taiwan, China",121.203986,24.952786
TW,桃園市,Pingzhen,NO2,Taiwan,ppm,0.014,2017-12-22 05:00:00,"Taiwan, China",121.203986,24.952786
US,El Centro,Niland - English Roa,PM2.5,AirNow,µg/m³,11.0,2017-10-04 04:00:00,United States,-115.5444,33.2136
US,Hartford-West Hartford-East Hartford,East Hartford,SO2,AirNow,ppm,0.0,2017-04-25 10:00:00,United States,-72.6297,41.7847
US,FS1 - Forest Service,Unit1019,PM2.5,AirNow,µg/m³,3.0,2017-11-16 19:00:00,United States,-118.617132,36.13825
US,Riverside-San Bernardino-Ontario,Riverside - Rubidoux,SO2,AirNow,ppm,0.0,2017-06-07 16:00:00,United States,-117.4258,34.0103
US,SACRAMENTO,Natomas - Goldenland,PM10,AirNow,µg/m³,7.0,2017-06-01 17:00:00,United States,-121.50665,38.650716
US,Phoenix-Mesa-Scottsdale,HIGLEY,PM10,AirNow,µg/m³,42.0,2017-04-28 12:00:00,United States,-111.7225,33.3107
US,ABBEVILLE,Due West,O3,AirNow,ppm,0.041,2017-01-10 18:00:00,United States,-82.386101,34.325298
RU,Unknown,Останкино 0,SO2,Mosecom,µg/m³,2.2,2017-09-11 08:00:00,Russian Federation,37.630405,55.82202
RU,Unknown,Останкино 0,PM10,Mosecom,µg/m³,20.0,2017-09-11 08:00:00,Russian Federation,37.630405,55.82202
FR,CALAIS,Calais Parmentier,CO,eea,µg/m³,12.5,2017-05-02 14:00:00,France,1.890080000372347,50.95779999990659
IN,Unknown,"MD University, Rohtak - HSPCB",PM10,CPCB,µg/m³,72.92,2017-10-13 09:15:00,India,76.619464,28.876028
DE,Hof,Hof/LfU,SO2,eea,µg/m³,3.48,2017-12-31 16:00:00,Germany,11.897492000385864,50.320610999840994
AT,Amt der Niederösterreichischen Landesregierung,NET.03,SO2,EEA Austria,µg/m³,2.0,2017-07-20 19:00:00,Austria,15.903611111111111,48.33111111057804
